raw_row_number,date,time,location,lat,lng,geocode_source,beat,district,subject_age,subject_race,subject_sex,officer_id_hash,officer_age,officer_race,officer_sex,officer_years_of_service,unit,type,violation,arrest_made,citation_issued,outcome,contraband_found,contraband_drugs,contraband_weapons,contraband_alcohol,contraband_other,search_conducted,search_person,search_vehicle,vehicle_make,vehicle_model,raw_race,raw_driver_race
2017743,2020-02-02,01:32:00,43XX S ASHLAND AVE,41.880363984,-87.66673314,SU,924,9,40,white,male,,,,,,211,vehicular,COMPLIANCE-REQUIRED,,,,,,,FALSE,,FALSE,FALSE,FALSE,CHRYSLER,300M,WHITE,
134058,2015-01-02,18:00:00,8700 MANSFIELD AVE S,41.7357246870001,-87.664319899,SU,,,36,hispanic,male,,,,,,,vehicular,DRIVING ON SUSPENDED LICENSE,TRUE,,arrest,,,,FALSE,,FALSE,FALSE,FALSE,,,HISPANIC,
1697371,2019-07-19,12:39:00,39XX S LAKE SHORE DR SB,41.8819593390001,-87.617032631,SU,212,2,52,black,female,,,,,,145,vehicular,IVC - DRIVING 21-25 MPH ABOVE SPEED LIMIT,,,,,,,FALSE,,FALSE,FALSE,FALSE,CHRYSLER/CONQUEST (MODEL YEAR 1987),CHRYSLER/CONQUEST (MODEL YEAR 1987),BLACK,
1881443,2019-11-08,21:30:00,66XX S ASHLAND AVE,41.8803120000001,-87.66684786,SU,725,7,23,black,male,,,,,,7,vehicular,DISPLAY ST REG-REAR MOTRCYCL/TRLR/SEMI-TRLR,,,,,,,FALSE,,FALSE,FALSE,FALSE,CHEVROLET,IMPALA,BLACK,
497690,2015-07-11,20:00:00,7126 ASHLAND AVE S,41.764027,-87.664151,GM,,,,,male,,,black,male,7,,vehicular,IVC - NOT WEARING SEAT BELT/DRIVER,,TRUE,citation,,,,FALSE,,FALSE,FALSE,FALSE,,,,
402858,2014-05-24,11:00:00,7900 CHICAGO SKYWAY IB S,41.71639,-87.538894,GM,,,,,male,,,black,male,24,,vehicular,IVC - DRIVING 21-25 MPH ABOVE SPEED LIMIT,,TRUE,citation,,,,FALSE,,FALSE,FALSE,FALSE,,,,
583422,2016-07-19,01:00:00,8700 WOOD ST S,41.7357134,-87.667922,GM,,,,,male,,,black,female,11,,vehicular,IVC - UNSAFE BACKING ON ROADWAY,,TRUE,citation,,,,FALSE,,FALSE,FALSE,FALSE,,,,
1231780,2018-10-15,06:36:00,19XX W 77TH ST,41.7544561670001,-87.626407058,SU,611,6,42,black,female,,,,,,6,vehicular,STOP AT STOP SIGN,,,,,,,FALSE,,FALSE,FALSE,FALSE,AUDI,A3,BLACK,
883281,2018-01-30,17:30:00,XX E 111TH ST,41.692779,-87.610317288,SU,531,5,63,black,female,,,,,,5,vehicular,HEADLIGHT TWO REQUIRED-MOTOR VEHICLE,,,,,,,FALSE,,FALSE,FALSE,FALSE,HONDA,ACCORD,BLACK,
944672,2018-03-19,23:29:00,23XX W ADAMS ST,41.879398887,-87.628642295,SU,1223,12,29,black,female,,,,,,12,vehicular,HEADLIGHT TWO REQUIRED-MOTOR VEHICLE,,,,,,,FALSE,,FALSE,FALSE,FALSE,OLDSMOBILE,UNKNOWN,BLACK,
